Index_source,emb_index_no,rel,date_of_rel,year_of_rel,candidate_seed_blog,goal_url,goal_url_type,goal_url_creator,goal_url_location,goal_url_lang,goal_url_last_post_date,goal_url_first_post_date,goal_url_num_posts,goal_url_notes,goal_url_topic,This data generated 30 August 2014
http://ethnomblogs.blogspot.com/,56,linksTo,2009-05-20,2009,,http://globalgroovers.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,57,linksTo,2009-05-20,2009,,http://musicapopurbana.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,58,linksTo,2009-05-20,2009,,http://www.redroom.com/blog/mark-f-dewitt,,,,,,,,defunct at this url,,
http://ethnomblogs.blogspot.com/,59,linksTo,2009-05-20,2009,,http://womeninthehouse.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,60,linksTo,2009-05-20,2009,,http://www.miguelramosbiografia.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,61,linksTo,2009-05-20,2009,,http://www.arturribeiro.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,62,linksTo,2009-05-20,2009,,http://mcgraw-ethnomusicology.blogspot.com/,teaching blog,Andy McGraw,usa,,,,,,,
http://ethnomblogs.blogspot.com/,63,linksTo,2009-05-20,2009,,http://www.alwaysmoretohear.com/,personal blog,Jamie Freedman,usa,,,,,,"music journalism, us popular music",
http://ethnomblogs.blogspot.com/,64,linksTo,2009-05-20,2009,,http://morskyjezek.blogspot.com/,fieldwork blog,Jesse Morskyjezek,cz,en,,,,,,
http://ethnomblogs.blogspot.com/,65,linksTo,2009-05-20,2009,,http://tranquanghaisworld.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,66,linksTo,2009-05-20,2009,,http://laguayabita.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://www.personal.psu.edu/acc13/blogs/SEM_Education/blog/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://etnomusicologica.wordpress.com/,,,,,,,,,,
